education,workclass,occupation,salary-class,race,native-country,sex,marital-status,age
Bachelors,State-gov,Adm-clerical,<=50K,White,United-States,Male,Never-married,39
Bachelors,Self-emp-not-inc,Exec-managerial,<=50K,White,United-States,Male,Married-civ-spouse,50
HS-grad,Private,Handlers-cleaners,<=50K,White,United-States,Male,Divorced,38
11th,Private,Handlers-cleaners,<=50K,Black,United-States,Male,Married-civ-spouse,53
Bachelors,Private,Prof-specialty,<=50K,Black,Cuba,Female,Married-civ-spouse,28
Masters,Private,Exec-managerial,<=50K,White,United-States,Female,Married-civ-spouse,37
9th,Private,Other-service,<=50K,Black,Jamaica,Female,Married-spouse-absent,49
HS-grad,Self-emp-not-inc,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,52
Masters,Private,Prof-specialty,>50K,White,United-States,Female,Never-married,31
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,42
Some-college,Private,Exec-managerial,>50K,Black,United-States,Male,Married-civ-spouse,37
Bachelors,State-gov,Prof-specialty,>50K,Asian-Pac-Islander,India,Male,Married-civ-spouse,30
Bachelors,Private,Adm-clerical,<=50K,White,United-States,Female,Never-married,23
Assoc-acdm,Private,Sales,<=50K,Black,United-States,Male,Never-married,32
7th-8th,Private,Transport-moving,<=50K,Amer-Indian-Eskimo,Mexico,Male,Married-civ-spouse,34
HS-grad,Self-emp-not-inc,Farming-fishing,<=50K,White,United-States,Male,Never-married,25
HS-grad,Private,Machine-op-inspct,<=50K,White,United-States,Male,Never-married,32
11th,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,38
Masters,Self-emp-not-inc,Exec-managerial,>50K,White,United-States,Female,Divorced,43
Doctorate,Private,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,40
HS-grad,Private,Other-service,<=50K,Black,United-States,Female,Separated,54
9th,Federal-gov,Farming-fishing,<=50K,Black,United-States,Male,Married-civ-spouse,35
11th,Private,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,43
HS-grad,Private,Tech-support,<=50K,White,United-States,Female,Divorced,59
Bachelors,Local-gov,Tech-support,>50K,White,United-States,Male,Married-civ-spouse,56
